;-----------------------------------------------------------
;ICAO	Latitude	Longitude	City/Airport
;-----------------------------------------------------------
AGGH	-09.417769	160.053604	Henderson
AGGK	-10.449997	161.896667	Kira Kira
AGGL	-10.719716	165.897217	Luova
AGGM	-08.327215	157.261108	Munda
AGGN	-08.099158	156.864166	Nusatupe
AGGE	-06.973887	155.885834	Ballalae
AGGG	-10.500000	166.750000	Honiara FIR
ANAU	-00.549993	166.915283	Nauru Intl
AYMO	-02.064158	147.423889	Momote
AYGA	-06.082783	145.396103	Goroka
AYMH	-05.833328	144.300003	Mount Hagen
AYWK	-03.585828	143.667221	Boram
AYNZ	-06.567222	146.724716	Nadzab
AYPY	-09.443883	147.215836	Jacksons
AYMD	-05.209161	145.787506	Madang
AYRB	-04.225000	152.186700	Rabaul/New Britain
AYKV	-02.580000	150.808300	Kavieng
AYKT	-06.305000	155.728300	Bougainville Is Kieta
BGBW	61.161110	-045.427776	Narsarsuaq
BGGH	64.192223	-051.682499	Godthab
BGJN	69.244438	-051.062222	Jakobshavn
BGKK	65.573326	-037.123890	Kulusuk
BGSF	67.018051	-050.694168	Sondre Stromfjord
BGTL	76.533325	-068.699997	Thule AB
BGCO	70.743324	-022.660555	Constable Pynt
BGDB	74.300000	-020.216670	Daneborg
BGKT	70.416660	-021.966670	Kap Tobin
BGPC	60.050000	-043.166670	Prins Christian Sund
BGSC	70.483330	-021.950000	Scoresbysund
BGGD	61.233330	-048.100000	Gronnedal
BGFH	62.000000	-049.666670	Frederikshaab
BGJH	60.716670	-046.050000	Julianehaab
BGDH	76.766670	-018.666670	Danmarkshavn
BGHB	66.916660	-053.666670	Holsteinsborg
BGAM	65.600000	-037.633330	Angmagssalik
BGAS	59.983330	-045.200000	Angissoq
BGAT	67.783330	-032.300000	Aputiteq
BGEM	68.700000	-052.750000	Egedesminde
BIRG	66.406380	-015.918333	Raufarhofn
BIBL	65.649719	-020.283890	Blonduos
BIHN	64.295547	-015.227222	Hornafjordur
BIIS	66.058334	-023.140278	Isafjordur
BIKF	63.984993	-022.605555	Keflavik
BIKR	65.731659	-019.572777	Alexander
BIAR	65.658600	-018.072222	Akureyri
BIPA	65.556114	-023.965834	Patreksfjordur
BIEG	65.283333	-014.401389	Egilsstadir
BIRK	64.129997	-021.940556	Reykjavik
BISI	66.133331	-018.916666	Siglufjordur
BIST	65.058327	-022.794445	Stykkisholmur
BITE	65.870270	-023.559999	Thingeyri
BITH	66.250824	-015.267777	Saudanes
BITN	66.218330	-015.334167	Sydralon
BIVM	63.424995	-020.279167	Vestmannaeyjar
BINF	65.131943	-013.746388	Nordfjordur
BIHU	65.952492	-017.425833	Husavik
BIGR	66.533330	-018.016670	Grimsey
BIRR	53.070600	-007.897800	Birr
BIRD	73.000000	-020.000000	Reykjavik FIR
BIVO	65.700000	-014.816670	Vopnafjordur
CAL3	50.166660	-120.183334	Douglas Lake
CAH3	49.679443	-124.981667	Courtenay
CAH4	52.853333	-119.334442	Valemount
CAH5	55.116661	-125.616669	Leo Creek
CAJ2	66.491112	-136.573334	Eagle Plains
CAJ3	49.036938	-116.498337	Creston
CAJ4	52.452217	-125.303055	Anahim Lake
CAR3	50.674721	-121.893608	Lillooet
CAK3	49.083332	-122.933334	Delta Heritage Air Park
CAZ5	50.783333	-121.316666	Cache Creek
CAL5	52.066662	-123.266670	Alexis Lake
CAM3	48.749714	-123.718056	Duncan
CAM5	54.433327	-126.783333	Houston
CAP3	49.460556	-123.718613	Sechelt-Gibsons
CAP6	56.790546	-124.896667	Ingenika
CAQ4	51.955547	-122.139442	Springhouse Airpark
CAQ5	50.266384	-117.812775	Nakusp
CAR2	49.666664	-116.816666	Crawford Bay
CAJ9	57.426105	-125.646111	Ft Ware
CAT4	49.337215	-124.393890	Qualicum Beach
CAF4	51.533325	-124.166664	Tsuniah Lake Lodge
CAF2	52.185001	-128.153061	Bella Bella (Campbell I)
CAE4	53.016663	-124.833336	Tsacha Lake
CAD5	50.123604	-120.743889	Merritt
CAD4	49.066658	-117.599998	Trail
CAD3	61.412498	-130.095001	Wolverine
CAB5	56.681107	-131.086945	Bronson Creek
CAG3	51.626106	-124.141945	Chilko Lake Resort
CAT1	43.683331	-081.004997	Coghlin
CAS3	53.088055	-121.515274	Barkerville
CAT5	50.571106	-127.024719	Port McNeill
CAU3	49.173325	-119.551109	Oliver
CAV3	51.642494	-121.306946	One Hundred Mile House
CAW3	51.799992	-123.583336	Scum Lake
